itemId,sourceMcId,sourceMcTitle,description,targetDetectedMcIds,targetSplitMcIds,shouldSplit,caseType,split
12,101,Ремонт квартир и домов под ключ,"Ремонт с инженерией и отделкой во вторичке. Обои в коридоре, обои в коридоре и другие этапы выполняем как часть ремонта. Ищу заказы именно на комплекс, по отдельным видам работ не выезжаю. опыт более 10 лет. аккуратно.","[101, 106, 109, 111]",[],False,turnkey_no_split,test
13,109,Напольные покрытия,Укладка пробки в кухня. Делаю ламинат елочкой / с гарантией. опыт 5 лет. выезд + расчет бесплатно. звоните.,[109],[],False,single_direct,val
14,107,Малярные работы,"Выполняю:
- малярка под ключ
- демонтаж в санузле можно заказать отдельно
работаем с 2016 года
стоимость после осмотра","[107, 111]",[111],True,bullets_mixed,train
15,111,Демонтажные работы,"Демонтаж дверных коробок в новостройка. Делаю упаковка строительного мусора, по договоренности. опыт 5 лет. цены адекватные. есть свободные даты.",[111],[],False,single_direct,train
16,110,Гипсокартон,"Короб из гипсокартона в дом. Делаю короб под подсветку, без посредников. работаем с 2016 года. расчет по смете. пишите в чат.",[110],[],False,single_direct,train
17,111,Демонтажные работы,демонтаж дверных коробок /капитальный ремонт под ключ /укладка ПВХ плитки частник лс,"[101, 109, 111]",[],False,noisy_short,train
18,101,Ремонт квартир и домов под ключ,"Ремонт офиса под ключ во вторичке. Гидроизоляция под плитку / финишная отделка под покраску и другие этапы выполняем в составе ремонта. Ищу заказы именно на комплекс, по отдельным видам работ не выезжаю. частный мастер с опытом 7 лет. выезд на замер.","[101, 107, 105]",[],False,turnkey_no_split,train
19,110,Гипсокартон,"Ниши из гкла в кухня. Делаю подвесной потолок из гкла, выезд на замер. бригада с опытом 12 лет. цена обсуждается. звоните.",[110],[],False,single_direct,train
20,101,Ремонт квартир и домов под ключ,Полный ремонт квартиры в коттедже. Можем отдельно очистка стен до основания можем отдельно короб из гипсокартона делаем отдельно установка натяжных потолков. опыт более 10 лет. без скрытых доплат. пишите в чат.,"[101, 111, 110, 104]","[111, 110, 104]",True,turnkey_split,train
21,110,Гипсокартон,"Выполняю:
- зашивка труб гипсокартоном
• замена выключателей по ситуации
- монтаж потолка в новостройке
- разборка
опыт более 10 лет
стоимость после осмотра","[103, 104, 110, 111]",[],False,bullets_mixed,train
22,105,Укладка плитки,Укладка плитки елочкой. Можем отдельно ремонт комнаты под ключ. по договоренности. отвечу на вопросы.,"[101, 105]",[101],True,multi_service_split,train
23,106,Поклейка обоев,"Выполняю:
- устранение пузырей на обоях по ситуации
- опрессовка труб
работаем с 2016 года
без скрытых доплат","[102, 106]",[],False,bullets_mixed,train
24,109,Напольные покрытия,"Подготовка пола в квартира. Делаю демонтаж старого пола, выезд на замер. опыт 5 лет. выезд и расчет бесплатно. есть свободные даты.",[109],[],False,single_direct,train
25,104,Натяжные потолки,"Тканевые потолки в новостройка. Делаю резной потолок, работаем по договору. работаем с 2016 года. без скрытых доплат. звоните.",[104],[],False,single_direct,train
26,101,Ремонт квартир и домов под ключ,"Ремонт с черновой и чистовой отделкой для дома. Резной потолок, резной потолок и другие этапы выполняем как часть ремонта. Ищу заказы именно на комплекс, по отдельным видам работ не выезжаю. с опытом 8 лет. смета после осмотра.","[101, 106, 110, 104]",[],False,turnkey_no_split,val
27,111,Демонтажные работы,"Очистка потолка. Подготовка стен под обои все работы одной бригадой, перегородка в комнате комплексом. с гарантией. можно сегодня.","[108, 110, 111]",[],False,multi_service_no_split,train
28,101,Ремонт квартир и домов под ключ,"Комплексный ремонт для квартиры. Стыковка рисунка обоев, облицовка санузла и другие этапы выполняем все работы одной бригадой. Ищу заказы именно на комплекс, по отдельным видам работ не выезжаю. опыт 5 лет. поможем с материалом.","[101, 106, 105]",[],False,turnkey_no_split,train
29,109,Напольные покрытия,"Укладка виниловой плитки. Делаем отдельно фотопечать на потолке, также отдельно перенос розеток. смета после осмотра. оперативный выезд.","[103, 104, 109]","[103, 104]",True,multi_service_split,train
30,101,Ремонт квартир и домов под ключ,"Выполняем весь комплекс работ во вторичке. Подвесной потолок из гипсокартона, подготовка стен после обоев и другие этапы выполняем под ключ без дробления на этапы. Ищу заказы именно на комплекс, по отдельным видам работ не выезжаю. с опытом 8 лет. чисто и в срок.","[101, 110, 111, 107]",[],False,turnkey_no_split,train
31,109,Напольные покрытия,Укладка паркетной доски. Затирка швов в рамках комплекса. чисто и в срок. отвечу на вопросы.,"[105, 109]",[],False,multi_service_no_split,train
32,106,Поклейка обоев,"Подбор рисунка обоев в вторичка. Делаю оклейка стен обоями, выезд на замер. работаем с 2016 года. выезд и расчет бесплатно. оперативный выезд.",[106],[],False,single_direct,train
33,110,Гипсокартон,"Выполняю:
• монтаж профилей в комплексе
- ремонт комнаты под ключ беру как самостоятельную работу
- покраска кистью можно заказать отдельно
- армирование сеткой в комплексе
с опытом 8 лет
стоимость после осмотра","[101, 107, 108, 110]","[101, 107]",True,bullets_mixed,train
34,101,Ремонт квартир и домов под ключ,Комплекс работ по ремонту в коттедже. При необходимости отдельно замена полотенцесушителя можем отдельно перенос розеток также отдельно выравнивание стен при необходимости отдельно шумоизоляция перегородок. с опытом 8 лет. расчет по смете. оперативный выезд.,"[101, 102, 103, 108, 110]","[102, 103, 108, 110]",True,turnkey_split,test
35,101,Ремонт квартир и домов под ключ,Полная отделка квартиры в доме. Делаем отдельно плиточные работы отдельно замена выключателей берем отдельно металлопластиковые трубы. опыт более 10 лет. цены адекватные. можно сегодня.,"[101, 105, 103, 102]","[105, 103, 102]",True,turnkey_split,test
36,102,Сантехника,"Пайка труб в комната. Делаю опрессовка труб, по договоренности. опыт более 10 лет. расчет по смете. звоните.",[102],[],False,single_direct,val
37,107,Малярные работы,"Выполняю:
- покраска после ремонта по ситуации
• натяжной потолок после залива отдельно
- установка фильтров воды
работаем с 2016 года
выезд и расчет бесплатно","[102, 104, 107]",[104],True,bullets_mixed,train
38,101,Ремонт квартир и домов под ключ,"Полная отделка квартиры во вторичке. Наливной пол, заделка трещин штукатуркой и другие этапы выполняем все работы одной бригадой. Ищу заказы именно на комплекс, по отдельным видам работ не выезжаю. частный мастер с опытом 7 лет. чисто и в срок.","[101, 109, 103, 108]",[],False,turnkey_no_split,train
39,101,Ремонт квартир и домов под ключ,Генподряд на ремонт в офисе. Также отдельно демонтаж ванны делаем отдельно обои под покраску при необходимости отдельно шлифовка стен берем отдельно заделка штроб. работаем с 2016 года. цена обсуждается. оперативный выезд.,"[101, 111, 106, 107, 108]","[111, 106, 107, 108]",True,turnkey_split,train
40,107,Малярные работы,"Заделка трещин. Также отдельно демонтаж перегородок, также отдельно декоративная раскладка плитки. поможем с материалом. есть свободные даты.","[105, 107, 111]","[105, 111]",True,multi_service_split,train
41,101,Ремонт квартир и домов под ключ,Ремонт ванной под ключ в коттедже. Выполняем отдельно установка выключателей также отдельно ремонт обоев. с опытом 8 лет. выезд и расчет бесплатно. есть свободные даты.,"[101, 103, 106]","[103, 106]",True,turnkey_split,train
42,101,Ремонт квартир и домов под ключ,"Комплекс работ по ремонту для квартиры. Обшивка стен гкл, обшивка стен гкл и другие этапы выполняем комплексом. Ищу заказы именно на комплекс, по отдельным видам работ не выезжаю. опыт более 10 лет. без посредников.","[101, 106, 111, 110]",[],False,turnkey_no_split,train
43,109,Напольные покрытия,подготовка пола +укладка плитки 120х60 +сантехника выезд лс,"[102, 105, 109]","[102, 105]",True,noisy_short,train
44,104,Натяжные потолки,"Потолок в комнате. Подключение стиральной машины под ключ без дробления на этапы, ремонт с материалами в рамках комплекса. аккуратно. отвечу на вопросы.","[101, 102, 104]",[],False,multi_service_no_split,test
45,101,Ремонт квартир и домов под ключ,"Ремонт под ключ с гарантией в новостройке. Снятие обоев, снятие обоев и другие этапы выполняем в составе ремонта. Ищу заказы именно на комплекс, по отдельным видам работ не выезжаю. бригада с опытом 12 лет. выезд на замер.","[101, 111, 102]",[],False,turnkey_no_split,train
46,101,Ремонт квартир и домов под ключ,Капитальный ремонт под ключ в доме. Отдельно укладка ковролина берем отдельно выравнивание стен под обои выполняем отдельно подрезка наплывов. частный мастер с опытом 7 лет. стоимость после осмотра. отвечу на вопросы.,"[101, 109, 106, 108]","[109, 106, 108]",True,turnkey_split,train
47,102,Сантехника,"Установка смесителя в комната. Делаю установка полотенцесушителя, поможем с материалом. работаем с 2016 года. цена обсуждается. пишите в чат.",[102],[],False,single_direct,train
48,109,Напольные покрытия,"Демонтаж старого пола в комната. Делаю укладка клеевого кварцвинила, без посредников. с опытом 8 лет. цена обсуждается. есть свободные даты.",[109],[],False,single_direct,train
49,103,Электрика,"Штробление под проводку в комната. Делаю подключение люстры, работаем по договору. работаем с 2016 года. цены адекватные. звоните.",[103],[],False,single_direct,train
50,108,Штукатурные работы,"Штукатурка санузла в дом. Делаю заделка штроб, работаем по договору. опыт 5 лет. цены адекватные. можно сегодня.",[108],[],False,single_direct,train
51,110,Гипсокартон,огнестойкий гипсокартон +весь цикл ремонта +подрезка керамогранита бригада звоните,"[101, 105, 110]","[101, 105]",True,noisy_short,test
52,101,Ремонт квартир и домов под ключ,Капитальный ремонт под ключ в доме. Можем отдельно сухая стяжка выполняем отдельно покраска в два слоя. работаем с 2016 года. цены адекватные. можно сегодня.,"[101, 109, 107]","[109, 107]",True,turnkey_split,val
53,102,Сантехника,"Монтаж инсталляции. Монтаж электрики под ключ без дробления на этапы, подготовка стен после обоев в составе ремонта. смета после осмотра. оперативный выезд.","[102, 103, 107]",[],False,multi_service_no_split,test
54,109,Напольные покрытия,Замена порожков. Многоуровневые потолки как часть ремонта. поможем с материалом. можно сегодня.,"[104, 109]",[],False,multi_service_no_split,test
55,104,Натяжные потолки,"Сатиновые потолки. Каркас под гипсокартон в составе ремонта, ремонт под сдачу в составе ремонта. с гарантией. оперативный выезд.","[101, 104, 110]",[],False,multi_service_no_split,train
56,101,Ремонт квартир и домов под ключ,"Ремонт от демонтажа до чистовой для дома. Замена порожков / облицовка санузла и другие этапы выполняем под ключ без дробления на этапы. Ищу заказы именно на комплекс, по отдельным видам работ не выезжаю. работаем с 2016 года. смета после осмотра.","[101, 109, 105, 111]",[],False,turnkey_no_split,test
57,110,Гипсокартон,"Выполняю:
- перегородка для зонирования по ситуации
• черновая отделка стен как отдельную услугу
- установка выключателей беру как самостоятельную работу
- резка перегородок беру как самостоятельную работу
с опытом 8 лет
без скрытых доплат","[103, 108, 110, 111]","[103, 108, 111]",True,bullets_mixed,train
58,103,Электрика,черновая электрка /вынос мусора после демонтажа +освежить интерьер краской срочно чат,"[103, 107, 111]",[107],True,noisy_short,train
59,110,Гипсокартон,"Зашивка труб гипсокартоном в вторичка. Делаю усиление каркаса, по договоренности. работаем с 2016 года. без скрытых доплат. есть свободные даты.",[110],[],False,single_direct,train
60,110,Гипсокартон,Металлокаркас под гкл. Выполняем отдельно очистка потолка. чисто и в срок. пишите в чат.,"[110, 111]",[111],True,multi_service_split,train
61,101,Ремонт квартир и домов под ключ,Комплекс работ по ремонту в квартире. Отдельно укладка покрытия под ключ отдельно замена полотна потолка. работаем с 2016 года. расчет по смете. отвечу на вопросы.,"[101, 109, 104]","[109, 104]",True,turnkey_split,train
62,104,Натяжные потолки,Устранение пореза потолка. Делаем отдельно замена автомата. работаем по договору. можно сегодня.,"[103, 104]",[103],True,multi_service_split,train
63,101,Ремонт квартир и домов под ключ,Берем объект целиком в коттедже. Берем отдельно электрический теплый пол также отдельно грунтовка стен под обои отдельно сборка сантехнического шкафа. бригада с опытом 12 лет. расчет по смете. можно сегодня.,"[101, 109, 106, 102]","[109, 106, 102]",True,turnkey_split,val
64,101,Ремонт квартир и домов под ключ,"Ремонт под ключ с гарантией в новостройке. Укладка крупноформатной плитки, монтаж теплого пола электрического и другие этапы выполняем в составе ремонта. Ищу заказы именно на комплекс, по отдельным видам работ не выезжаю. частный мастер с опытом 7 лет. выезд на замер.","[101, 109, 103, 105]",[],False,turnkey_no_split,train
65,102,Сантехника,"Перенос труб. поклейка абоев после шпаклевки в рамках комплекса, формирование коробов под плитку как часть ремонта. с гарантией. можно сегодня.","[102, 105, 106]",[],False,multi_service_no_split,train
66,102,Сантехника,"Монтаж инсталляции. Ниша под шторы в рамках комплекса, установка розеток в рамках комплекса. смета после осмотра. отвечу на вопросы.","[102, 103, 104]",[],False,multi_service_no_split,train
67,106,Поклейка обоев,"Грунтовка стен под обои в дом. Делаю поклейка обоев на кухне, поможем с материалом. опыт 5 лет. стоимость после осмотра. пишите в чат.",[106],[],False,single_direct,train
68,109,Напольные покрытия,стяжка пола +ремонт сантехники срочно звоните,"[102, 109]",[102],True,noisy_short,val
69,101,Ремонт квартир и домов под ключ,"Генподряд на ремонт для дома. Покраска стен / ковровое покрытие + другие этапы выполняем комплексом. Ищу заказы именно на комплекс, по отдельным видам работ не выезжаю. работаем с 2016 года. выезд на замер.","[101, 107, 103, 105, 109]",[],False,turnkey_no_split,train
70,102,Сантехника,установка сантехники выезд лс,[102],[],False,noisy_short,test
71,110,Гипсокартон,"Серпянка на швы гкл. Демонтаж плитки под ключ без дробления на этапы, диагностика электрики под ключ без дробления на этапы. чисто и в срок. звоните.","[103, 110, 111]",[],False,multi_service_no_split,val
72,102,Сантехника,"Разводка канализации в новостройка. Делаю сборка сантехнического шкафа, смета после осмотра. частный мастер с опытом 7 лет. расчет по смете. звоните.",[102],[],False,single_direct,train
73,108,Штукатурные работы,"Выполняю:
- штукатурка стен
- установка багета в комплексе
бригада с опытом 12 лет
стоимость после осмотра","[104, 108]",[],False,bullets_mixed,train
74,109,Напольные покрытия,"Ремонт пола в комната. Делаю монтаж плинтуса, аккуратно. работаем с 2016 года. стоимость после осмотра. пишите в чат.",[109],[],False,single_direct,val
75,103,Электрика,"Выполняю:
- монтаж бра
- покраска откосов в комплексе
частный мастер с опытом 7 лет
цены адекватные","[103, 107]",[],False,bullets_mixed,val
76,110,Гипсокартон,Усиление каркаса. Отдельно оштукатуривание помещений. смета после осмотра. отвечу на вопросы.,"[108, 110]",[108],True,multi_service_split,val
77,101,Ремонт квартир и домов под ключ,Ремонт дома под ключ в доме. Можем отдельно заделка штроб берем отдельно замена проводки также отдельно укладка инженерной доски. работаем с 2016 года. выезд и расчет бесплатно. можно сегодня.,"[101, 108, 103, 109]","[108, 103, 109]",True,turnkey_split,val
78,101,Ремонт квартир и домов под ключ,Комплексный ремонт дома в доме. Делаем отдельно укладка виниловой плитки выполняем отдельно монтаж перегородок под ключ выполняем отдельно ручная штукатурка. с опытом 8 лет. цены адекватные. пишите в чат.,"[101, 109, 110, 108]","[109, 110, 108]",True,turnkey_split,train
79,107,Малярные работы,"Покраска в квартире. Подрезка обоев у плинтуса под ключ без дробления на этапы, укладка керамогранита в составе ремонта. по договоренности. звоните.","[105, 106, 107]",[],False,multi_service_no_split,train
80,103,Электрика,"Поиск неисправности электрики в кухня. Делаю подсветка потолка, поэтапная оплата. частный мастер с опытом 7 лет. цена обсуждается. оперативный выезд.",[103],[],False,single_direct,train
81,101,Ремонт квартир и домов под ключ,"Выполняю:
- ремонт с инженерией и отделкой
- демонтаж плитки можно заказать отдельно
• поклейка обоев в новостройке отдельно
работаем с 2016 года
выезд и расчет бесплатно","[101, 106, 111]","[106, 111]",True,bullets_mixed,test
82,111,Демонтажные работы,Демонтаж. Арки из гипсокартона как часть ремонта. чисто и в срок. отвечу на вопросы.,"[110, 111]",[],False,multi_service_no_split,train
83,103,Электрика,Интернет кабель. Также отдельно ремонт с черновой и чистовой отделкой. выезд на замер. оперативный выезд.,"[101, 103]",[101],True,multi_service_split,train
84,111,Демонтажные работы,Демонтаж ламината. Делаем отдельно генподряд на ремонт. аккуратно. можно сегодня.,"[101, 111]",[101],True,multi_service_split,train
85,101,Ремонт квартир и домов под ключ,Ремонт квартиры полностью в офисе. Можем отдельно поклейка абоев в спальне выполняем отдельно монтаж теплого пола под плитку выполняем отдельно монтаж электрики. бригада с опытом 12 лет. без скрытых доплат. отвечу на вопросы.,"[101, 106, 105, 103]","[106, 105, 103]",True,turnkey_split,train
86,111,Демонтажные работы,"Снятие напольного покрытия в студия. Делаю демонтаж штукатурки, чисто и в срок. работаем с 2016 года. цена обсуждается. звоните.",[111],[],False,single_direct,train
87,101,Ремонт квартир и домов под ключ,Полный ремонт квартиры в офисе. Отдельно монтаж потолка под покраску при необходимости отдельно демонтаж натяжного потолка. опыт 5 лет. цены адекватные. звоните.,"[101, 110, 111]","[110, 111]",True,turnkey_split,val
88,108,Штукатурные работы,"Ремонт штукатурки. Также отдельно устранение протечки, при необходимости отдельно покраска после ремонта. поэтапная оплата. звоните.","[102, 107, 108]","[102, 107]",True,multi_service_split,train
89,101,Ремонт квартир и домов под ключ,"Ремонт с материалами для дома. Восстановление штукатурного слоя, восстановление штукатурного слоя и другие этапы выполняем все работы одной бригадой. Ищу заказы именно на комплекс, по отдельным видам работ не выезжаю. бригада с опытом 12 лет. без посредников.","[101, 108, 106]",[],False,turnkey_no_split,test
90,104,Натяжные потолки,Обход труб на потолке. Также отдельно полипропиленовые трубы. работаем по договору. пишите в чат.,"[102, 104]",[102],True,multi_service_split,train
91,109,Напольные покрытия,"Укладка клеевого кварцвинила. Демонтаж окон в рамках комплекса, заделка штроб в составе ремонта. поможем с материалом. оперативный выезд.","[108, 109, 111]",[],False,multi_service_no_split,train
92,101,Ремонт квартир и домов под ключ,"Ремонт квартиры под ключ в новостройке. Укладка кварцвинила, обои в детской и другие этапы выполняем комплексом. Ищу заказы именно на комплекс, по отдельным видам работ не выезжаю. опыт 5 лет. работаем по договору.","[101, 106, 109]",[],False,turnkey_no_split,val
93,101,Ремонт квартир и домов под ключ,комплексная переделка квартиры +демонтаж в ванной бригада чат,"[101, 111]",[111],True,noisy_short,val
94,106,Поклейка обоев,"Выполняю:
- поклейка абоев после штукатурки в комплексе
- установка унитаза беру как самостоятельную работу
- зашивка труб гклом
- монтаж распределительных коробок по ситуации
опыт 5 лет
расчет по смете","[102, 103, 106, 110]",[102],True,bullets_mixed,train
95,111,Демонтажные работы,Демонтаж в санузле. Выполняем отдельно текстильные обои. поэтапная оплата. отвечу на вопросы.,"[106, 111]",[106],True,multi_service_split,val
96,101,Ремонт квартир и домов под ключ,Комплексная отделка в квартире. Делаем отдельно переклейка обоев можем отдельно серпянка на швы гкл. частный мастер с опытом 7 лет. без скрытых доплат. оперативный выезд.,"[101, 106, 110]","[106, 110]",True,turnkey_split,train
97,106,Поклейка обоев,демонтаж старых обоев /теневой потолок срочно звоните,"[104, 106]",[],False,noisy_short,train
98,109,Напольные покрытия,"Выполняю:
- подгонка покрытия
- поклейка фотообоев в комплексе
частный мастер с опытом 7 лет
цены адекватные","[106, 109]",[],False,bullets_mixed,train
99,110,Гипсокартон,каркас под гипсокартон /штукатурка оконных откосов бригада лс,"[108, 110]",[],False,noisy_short,train
100,101,Ремонт квартир и домов под ключ,Ремонт квартиры под ключ в офисе. Также отдельно черновая штукатурка делаем отдельно обшивка стен гкл можем отдельно демонтаж в ванной. работаем с 2016 года. выезд и расчет бесплатно. звоните.,"[101, 108, 110, 111]","[108, 110, 111]",True,turnkey_split,train
101,107,Малярные работы,"Шлифовка стен в кухня. Делаю перекраска стен, с гарантией. с опытом 8 лет. цена обсуждается. пишите в чат.",[107],[],False,single_direct,train
102,101,Ремонт квартир и домов под ключ,"Ремонт вторички под ключ для квартиры. Покраска радиаторов, монтаж люка в короб и другие этапы выполняем комплексом. Ищу заказы именно на комплекс, по отдельным видам работ не выезжаю. частный мастер с опытом 7 лет. поэтапная оплата.","[101, 110, 107, 105]",[],False,turnkey_no_split,train
103,103,Электрика,"Выполняю:
- ремонт электрики
- снятие ламината в комплексе
- снос перегородок как отдельную услугу
- генподряд на ремонт беру как самостоятельную работу
опыт 5 лет
цена обсуждается","[101, 103, 109, 111]","[101, 111]",True,bullets_mixed,train
104,101,Ремонт квартир и домов под ключ,Ремонт с инженерией и отделкой в квартире. Берем отдельно укладка плитки при необходимости отдельно устранение пореза потолка также отдельно поклейка обоев в спальне выполняем отдельно демонтаж ванны. бригада с опытом 12 лет. расчет по смете. звоните.,"[101, 105, 104, 106, 111]","[105, 104, 106, 111]",True,turnkey_split,train
105,101,Ремонт квартир и домов под ключ,Ремонт офиса под ключ в квартире. При необходимости отдельно штукатурка потолка можем отдельно укладка клеевого кварцвинила. работаем с 2016 года. цена обсуждается. отвечу на вопросы.,"[101, 108, 109]","[108, 109]",True,turnkey_split,test
106,101,Ремонт квартир и домов под ключ,Комплексный ремонт санузла и кухни в офисе. Также отдельно еврокраб потолок делаем отдельно установка раковины делаем отдельно стеклохолст под покраску. частный мастер с опытом 7 лет. цены адекватные. можно сегодня.,"[101, 104, 102, 107]","[104, 102, 107]",True,turnkey_split,train
107,101,Ремонт квартир и домов под ключ,полный ремонт квартиры /плиточник частник звоните,"[101, 105]",[],False,noisy_short,train
108,111,Демонтажные работы,"Демонтаж паркета в новостройка. Делаю демонтаж дверей, аккуратно. частный мастер с опытом 7 лет. расчет по смете. отвечу на вопросы.",[111],[],False,single_direct,val
109,108,Штукатурные работы,"Штукатурка бетонных стен. Интернет кабель как часть ремонта, укладка инженерной доски комплексом. выезд на замер. звоните.","[103, 108, 109]",[],False,multi_service_no_split,train
110,101,Ремонт квартир и домов под ключ,"Ремонт ванной под ключ во вторичке. Шлифовка потолка, сборка схемы освещения и другие этапы выполняем комплексом. Ищу заказы именно на комплекс, по отдельным видам работ не выезжаю. с опытом 8 лет. поэтапная оплата.","[101, 103, 107]",[],False,turnkey_no_split,train
111,101,Ремонт квартир и домов под ключ,Комплексный ремонт санузла и кухни в доме. Можем отдельно оклейка ниш и откосов берем отдельно ремонт унитаза делаем отдельно установка автоматов. опыт 5 лет. стоимость после осмотра. есть свободные даты.,"[101, 106, 102, 103]","[106, 102, 103]",True,turnkey_split,train
112,111,Демонтажные работы,"Демонтаж гипсокартона в вторичка. Делаю демонтаж гипсокартона, работаем по договору. опыт 5 лет. выезд и расчет бесплатно. пишите в чат.",[111],[],False,single_direct,train
113,111,Демонтажные работы,Демонтаж стяжки. Ковровое покрытие комплексом. чисто и в срок. пишите в чат.,"[109, 111]",[],False,multi_service_no_split,test
114,101,Ремонт квартир и домов под ключ,Комплексная отделка в квартире. Выполняем отдельно подключение духового шкафа при необходимости отдельно подбор рисунка обоев также отдельно усиление каркаса отдельно шлифовка потолка. с опытом 8 лет. стоимость после осмотра. можно сегодня.,"[101, 103, 106, 110, 107]","[103, 106, 110, 107]",True,turnkey_split,val
115,106,Поклейка обоев,"Выполняю:
• поклейка обоев после шпаклевки в комплексе
- подготовка стен после обоев в комплексе
- металлопластиковые трубы в комплексе
- облицовка фартука
работаем с 2016 года
выезд и расчет бесплатно","[102, 105, 106, 107]",[],False,bullets_mixed,train
116,104,Натяжные потолки,Тканевые потолки в вторичка. Делаю замена полотна потолка / поможем с материалом. бригада с опытом 12 лет. цены адекватные. оперативный выезд.,[104],[],False,single_direct,test
117,109,Напольные покрытия,Замена порожков. Выполняем отдельно облицовка стен гкл / также отдельно бумажные обои. выезд на замер. есть свободные даты.,"[106, 109, 110]","[106, 110]",True,multi_service_split,val
118,107,Малярные работы,"Окраска стен в офис. Делаю грунтовка потолка, поэтапная оплата. бригада с опытом 12 лет. расчет по смете. звоните.",[107],[],False,single_direct,train
119,111,Демонтажные работы,"Демонтаж фартука в дом. Делаю подготовка квартиры к ремонту, смета после осмотра. частный мастер с опытом 7 лет. стоимость после осмотра. есть свободные даты.",[111],[],False,single_direct,test
120,111,Демонтажные работы,"Демонтаж перегородок. Отдельно серпянка на швы гкл, делаем отдельно ремонт под ключ с гарантией. чисто и в срок. можно сегодня.","[101, 110, 111]","[101, 110]",True,multi_service_split,train
